#,Student Number,Phone Number,Email,Books Checked Out
1, 342480274, 4165289993, heyo@gmail.com, None
2, 342990192, 4167124839, ics@gmail.com, None
3, 342189293, 6471239084, coder@gmail.com, None
4, 342080193, 6479124747, email@gmail.com, None
5, 348294893, 6471238181, user@gmail.com, None
6, 348750192, 4168923838, patron@gmail.com, None
7, 414901292, 4169038484, imaad@gmail.com, None
8, 414234575, 6471829013, ibraheem@gmail.com, None
9, 414666272, 6470019281, student@gmail.com, None
10, 414234897, 6471234567, teacher@gmail.com, None
